Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Function,"$.color.extract",,17,12
Function,"$.color.make",,45,38
Function,"$.color.parse",,37,22
Function,"$.plot",,6,4
Function,"$.plot.formatDate",,54,51
Function,"$.plot.formatDate.leftPad",,4,4
Function,"$.plot.image.load",,18,14
Unnamed Function,"$.plot.image.load.(unnamed_function_6)",,12,9
Function,"$.plot.image.load.(unnamed_function_6).handler",,8,6
Function,"$.plot.image.loadDataImages",,30,24
Unnamed Function,"$.plot.image.loadDataImages.(unnamed_function_2)",,14,12
Unnamed Function,"$.plot.image.loadDataImages.(unnamed_function_2).(unnamed_function_3)",,6,6
Unnamed Function,"$.plot.image.loadDataImages.(unnamed_function_4)",,9,8
Unnamed Function,"$.plot.image.loadDataImages.(unnamed_function_4).(unnamed_function_5)",,5,5
Unnamed Function,"(unnamed_function_1)",,187,147
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1388,1089
Unnamed Function,"(unnamed_function_1)",,276,205
Unnamed Function,"(unnamed_function_1)",,157,120
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,112,91
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,154,117
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,8301,5641
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,151,118
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,56,46
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,690,546
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1)",,2,2
Unnamed Function,"(unnamed_function_1)",,78,62
Unnamed Function,"(unnamed_function_1)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_100)",,3,3
Unnamed Function,"(unnamed_function_1).(unnamed_function_100)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_101)",,158,96
Unnamed Function,"(unnamed_function_1).(unnamed_function_101)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_107)",,5,5
Unnamed Function,"(unnamed_function_1).(unnamed_function_107)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_107).(unnamed_function_108)",,3,3
Unnamed Function,"(unnamed_function_1).(unnamed_function_107).(unnamed_function_108)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_114)",,36,28
Unnamed Function,"(unnamed_function_1).(unnamed_function_114)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_114).(unnamed_function_115)",,32,25
Unnamed Function,"(unnamed_function_1).(unnamed_function_114).(unnamed_function_115)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_114).(unnamed_function_115).(unnamed_function_116)",,13,11
Unnamed Function,"(unnamed_function_1).(unnamed_function_114).(unnamed_function_115).(unnamed_function_116)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_117)",,61,42
Unnamed Function,"(unnamed_function_1).(unnamed_function_117)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_117).(unnamed_function_118)",,5,5
Unnamed Function,"(unnamed_function_1).(unnamed_function_117).(unnamed_function_118)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_117).(unnamed_function_119)",,5,5
Unnamed Function,"(unnamed_function_1).(unnamed_function_117).(unnamed_function_119)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_117).(unnamed_function_120)",,42,29
Unnamed Function,"(unnamed_function_1).(unnamed_function_117).(unnamed_function_120)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_117).(unnamed_function_120).(unnamed_function_121)",,4,4
Unnamed Function,"(unnamed_function_1).(unnamed_function_117).(unnamed_function_120).(unnamed_function_121)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_28)",,5,5
Unnamed Function,"(unnamed_function_1).(unnamed_function_28)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_29)",,5,5
Unnamed Function,"(unnamed_function_1).(unnamed_function_29)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_30)",,10,10
Unnamed Function,"(unnamed_function_1).(unnamed_function_30)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_34)",,16,15
Unnamed Function,"(unnamed_function_1).(unnamed_function_34)",,1,1
Function,"(unnamed_function_1).(unnamed_function_34).bd",,1,1
Function,"(unnamed_function_1).(unnamed_function_34).handler",,5,5
Unnamed Function,"(unnamed_function_1).(unnamed_function_35)",,32,26
Unnamed Function,"(unnamed_function_1).(unnamed_function_35)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_35).(unnamed_function_36)",,30,24
Unnamed Function,"(unnamed_function_1).(unnamed_function_35).(unnamed_function_36)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_35).(unnamed_function_36).bh.(unnamed_function_37)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_35).(unnamed_function_36).handler.(unnamed_function_37)",,4,4
Unnamed Function,"(unnamed_function_1).(unnamed_function_40)",,61,46
Unnamed Function,"(unnamed_function_1).(unnamed_function_40)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_40).(unnamed_function_41)",,59,44
Unnamed Function,"(unnamed_function_1).(unnamed_function_40).(unnamed_function_41)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_42)",,18,14
Unnamed Function,"(unnamed_function_1).(unnamed_function_42)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_42).(unnamed_function_43)",,10,9
Unnamed Function,"(unnamed_function_1).(unnamed_function_42).(unnamed_function_43)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_44)",,1384,1013
Unnamed Function,"(unnamed_function_1).(unnamed_function_44)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_45)",,4,4
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_45)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_46)",,38,25
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_46)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_47)",,44,27
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_47)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_48)",,105,68
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_48)",,1,1
Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_48).Sizzle",,84,55
Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_48).bf",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_49)",,31,23
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_49)",,1,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_50)",,28,18
Unnamed Function,"(unnamed_function_1).(unnamed_function_44).(unnamed_function_50)",,1,1
Function,"(unnamed_function_1).(unnamed_function_44).Expr.attrHandle.href",,3,3
Function,"(unnamed_function_1).(unnamed_function_44).Expr.attrHandle.type",,3,3
